"strategy_id","strategy_name","strategy_desc","strategy_duration","strategy_requirements","strategy_instruction","strategy_source","strategy_category"
s8,Brisk Walk,Short bouts of walking to reduce stress hormones and improve mood.,15,"{""location"": ""outdoor"", ""participants"": ""1 or group""}","Walk briskly at a comfortable pace, focus on breathing and movement. Repeat daily or as needed.","{""source_link"": ""https://www.health.harvard.edu/mind-and-mood/exercise-is-an-all-natural-treatment-to-fight-depression"", ""source_name"": ""Harvard Health Publishing""}",Physical Activity
s9,Loving-Kindness Meditation,A meditation practice that builds compassion and positive connection to self and others.,20,"{""location"": ""indoor"", ""environment"": ""quiet"", ""participants"": 1}","Sit quietly, breathe deeply, repeat phrases like “May I be happy, may others be safe.” Expand from self → loved ones → community.","{""source_link"": ""https://ccare.stanford.edu/"", ""source_name"": ""Stanford Center for Compassion""}",Meditation
s10,Positive Event Sharing,Talking with others about positive experiences to amplify joy and connectedness.,15,"{""location"": ""indoor/outdoor"", ""participants"": 2}","Choose a positive event, describe it in detail to a supportive person, focus on emotions and meaning, encourage feedback.","{""source_link"": ""https://ggia.berkeley.edu/practice/capitalizing_on_positive_events"", ""source_name"": ""Greater Good in Action (UC Berkeley) — Capitalizing on Positive Events""}",Social
s1,Diaphragmatic Breathing,"A relaxation technique focusing on slow, deep breathing to reduce arousal and calm emotions.",5,"{""location"": ""indoor"", ""participants"": 1}","Sit comfortably, place one hand on your belly, inhale slowly through your nose for a count of 5, exhale through your mouth for a count of 5. Repeat for several cycles.","{""source_link"": ""https://my.clevelandclinic.org/health/articles/9445-diaphragmatic-breathing"", ""source_name"": ""Cleveland Clinic — Diaphragmatic Breathing""}",Breathing
s3,"5-4-3-2-1 Grounding",A sensory-based grounding technique to manage fear and panic.,3,"{""location"": ""indoor/outdoor"", ""participants"": 1}","Identify 5 things you see, 4 things you feel, 3 things you hear, 2 things you smell, and 1 thing you taste. Breathe slowly while naming each.","{""source_link"": ""https://www.therapistaid.com/worksheets/grounding-techniques"", ""source_name"": ""Mindfulness-based CBT guides""}",Grounding
s4,Safe-place Visualization,Guided imagery to create a mental safe zone that reduces anxiety and sadness.,10,"{""location"": ""indoor"", ""environment"": ""quiet"", ""participants"": 1}","Sit comfortably, close eyes, imagine a safe place engaging all senses (sight, sound, smell, touch). Use a calming cue word. Return gently.","{""source_link"": ""https://positivepsychology.com/guided-imagery"", ""source_name"": ""Cognitive Behavioral Therapy workbooks""}",Visualization
s5,Expressive Writing,Writing openly about stressful events to process emotions and reduce distress.,20,"{""location"": ""indoor"", ""materials"": ""paper/pen or digital device"", ""participants"": 1}",Write freely about thoughts and feelings around a difficult event. Do not worry about grammar or spelling. Re-ground yourself afterward.,"{""source_link"": ""https://journals.sagepub.com/doi/10.1177/1745691617707315"", ""source_name"": ""James Pennebaker""}",Writing
s11,Clarity Journaling,Writing to organize thoughts and reduce confusion or overwhelm.,20,"{""location"": ""indoor"", ""materials"": ""notebook or app"", ""participants"": 1}","Free-write about a confusing situation, list what you know vs. don’t know, outline possible actions. Review after writing.","{""source_link"": ""https://beckinstitute.org/wp-content/uploads/2021/08/Thought-Record-Worksheet.pdf"", ""source_name"": ""Beck Institute — Thought Record Worksheet""}",Journaling
s12,Forest Walk,Spending mindful time in nature to reduce stress and improve well-being.,25,"{""location"": ""outdoor"", ""participants"": ""1 or group""}","Walk in a natural setting; focus on sensory input (sights, sounds, smells). Avoid digital distractions.","{""source_link"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5580555/"", ""source_name"": ""Japanese Shinrin-yoku Research""}",Physical Activity
s13,Music Engagement,"Using music to regulate mood, either calming or energizing depending on the need.",15,"{""location"": ""indoor/outdoor"", ""materials"": ""music device"", ""participants"": ""1 or group""}","Select music that matches your goal (soothing for calm, upbeat for energy). Listen attentively, sing along, or move with the rhythm.","{""source_link"": ""https://www.musictherapy.org/research/factsheets/"", ""source_name"": ""American Music Therapy Association""}",Creative/Music
s6,Gratitude Journaling,Listing positive aspects of life to boost joy and counter sadness.,10,"{""location"": ""indoor"", ""materials"": ""notebook or app"", ""participants"": 1}",Write down at least three things you are grateful for each day and why they matter to you. Optionally write thank-you notes.,"{""source_link"": ""https://greatergood.berkeley.edu/topic/gratitude"", ""source_name"": ""Greater Good Science Center""}",Journaling
s7,Social Support,"Talking to a trusted person to relieve sadness, anger, or anxiety.",30,"{""location"": ""indoor/outdoor"", ""participants"": 2}","Ask a trusted friend to talk, express your emotions clearly, request listening or specific help, and allow mutual support.","{""source_link"": ""https://www.who.int/teams/mental-health-and-substance-use"", ""source_name"": ""WHO""}",Social
